000,3.33938,5.34578,9.83661,27.2296,73.5563,5.72269,9.2857,16.8395,34.1715,73.3974,5.72457,9.28759,16.8401,34.1696,73.4018,4.55428,7.2234,12.9197,29.817,72.7284,3.40723,5.53549,10.304,27.7359,74.1392
001,3.06948,5.29125,10.9132,30.1806,74.8861,6.48178,9.98072,16.918,35.5427,74.8237,6.48178,9.97978,16.9171,35.538,74.8125,4.88602,7.72635,13.842,32.7722,74.8833,3.01825,5.27635,11.0446,30.4061,75.4655
002,6.02789,7.66093,12.1767,30.8848,77.0715,8.27619,12.0657,19.8055,37.2609,77.269,8.27773,12.0657,19.807,37.2647,77.2613,7.56528,10.171,15.9616,33.4537,76.5213,6.79314,8.53791,13.0774,31.7893,77.8521
003,5.27681,7.68004,13.2721,31.9872,79.2521,6.55192,9.93702,17.947,36.4232,77.1223,6.55118,9.93849,17.9404,36.4203,77.1252,6.09259,8.71335,15.1249,33.2469,77.9322,5.81846,8.33045,14.1085,33.0492,80.0598
004,3.94,5.87332,10.4476,28.4723,72.6692,6.42881,9.94303,17.5432,33.911,72.0506,6.42881,9.94303,17.5432,33.9198,72.0472,5.22481,7.8182,13.5673,30.3995,72.3643,3.97938,5.85431,10.3966,28.6794,73.3734
005,8.715,10.8939,15.7291,32.9541,73.58,10.3219,13.3822,19.8257,35.4732,71.6699,10.3219,13.3822,19.8298,35.4759,71.6692,10.0106,12.5674,17.7119,33.9616,72.6232,9.12994,11.3061,16.227,33.7647,74.6183
006,6.77727,8.16988,11.15,27.0147,71.3277,7.00037,9.38661,15.8578,33.776,72.7904,7.00037,9.38661,15.8578,33.7881,72.7972,7.22041,9.04779,13.5926,30.2849,72.4158,7.91025,9.33484,12.3104,28.0799,72.0457
007,5.22038,6.7916,10.2327,24.9176,70.2335,6.88874,9.71627,15.6571,31.7602,71.2843,6.89036,9.71789,15.6425,31.7529,71.2891,6.18286,8.24139,12.7818,27.9249,69.998,5.58061,7.18015,10.5711,25.4139,70.7419
008,3.25003,4.25411,7.63494,25.3556,75.2357,4.62734,6.78081,13.1151,30.9698,73.4719,4.62734,6.77949,13.1177,30.9711,73.4647,3.78444,5.29518,9.90071,27.9173,74.0598,3.34714,4.45757,7.90974,25.7763,75.7086
009,3.51955,5.26658,9.96002,27.0278,73.2914,7.17212,10.8544,17.3529,33.3168,74.7794,7.17212,10.8551,17.3501,33.3112,74.7688,5.13143,7.55988,12.8597,29.7492,73.8327,3.84008,5.5758,10.42,27.8564,74.0739
